movie_id,title,genre,poster,rating
112,It,Movie,https://image.tmdb.org/t/p/w500/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,7.2
113,"Deadpool & Wolverine",Movie,https://image.tmdb.org/t/p/w500/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,7.571
114,"The Godfather",Movie,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,8.685
115,Hedda,Movie,https://image.tmdb.org/t/p/w500/ecflk7AZf0ij205yDswjlvdxlCO.jpg,5.191
116,Elio,Movie,https://image.tmdb.org/t/p/w500/7z8jDiTZZco9moIKpTUImFtTy7o.jpg,6.953
117,"The Lord of the Rings: The Fellowship of the Ring",Movie,https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,8.426
118,"Predator 2",Movie,https://image.tmdb.org/t/p/w500/83X4VwY9sdSJykskmsplIVG0a4h.jpg,6.292
119,"Pan's Labyrinth",Movie,https://image.tmdb.org/t/p/w500/z7xXihu5wHuSMWymq5VAulPVuvg.jpg,7.757
120,"A Working Man",Movie,https://image.tmdb.org/t/p/w500/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg,6.704
121,"The Pro",Movie,https://image.tmdb.org/t/p/w500/11dKhjR9CMGHKuI5zKgdXCYiBfi.jpg,6.2
122,"The Shawshank Redemption",Movie,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,8.7
123,"M3GAN 2.0",Movie,https://image.tmdb.org/t/p/w500/4a63rQqIDTrYNdcnTXdPsQyxVLo.jpg,7.379
124,"Corpse Bride",Movie,https://image.tmdb.org/t/p/w500/isb2Qow76GpqYmsSyfdMfsYAjts.jpg,7.583
125,Bewitched,Movie,https://image.tmdb.org/t/p/w500/8lx4EXmAZo8ogh4128UBZRQfCjI.jpg,5.082
126,"Night Carnage",Movie,https://image.tmdb.org/t/p/w500/w0wjPQKhlqisSbylf1sWZiNyc2h.jpg,5.746
127,"The Twits",Movie,https://image.tmdb.org/t/p/w500/izYZGeOHhPWiga8Hb5P4JYfcH8T.jpg,6.109
128,Zootopia,Movie,https://image.tmdb.org/t/p/w500/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,7.751
129,"Red Sonja",Movie,https://image.tmdb.org/t/p/w500/aE3yh4y0h96CZZpLo0UDFMWZAA9.jpg,5.776
130,"Karate Kid: Legends",Movie,https://image.tmdb.org/t/p/w500/AEgggzRr1vZCLY86MAp93li43z.jpg,7.1
131,"Never Alone",Movie,https://image.tmdb.org/t/p/w500/yUVi6U5rYu7tXHBFqcZcgqq5chD.jpg,6.2
132,"The Predator",Movie,https://image.tmdb.org/t/p/w500/a3eWGF6YPF7No5Rbtjc8QpDvz7l.jpg,5.627
133,HIM,Movie,https://image.tmdb.org/t/p/w500/qPJzcYR2f1O1uynYBCVPPJuOiAH.jpg,5.844
134,"Alien: Romulus",Movie,https://image.tmdb.org/t/p/w500/2uSWRTtCG336nuBiG8jOTEUKSy8.jpg,7.2
135,"Inside Out 2",Movie,https://image.tmdb.org/t/p/w500/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,7.551
136,"Avengers: Infinity War",Movie,https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,8.235
137,"The Woman in Cabin 10",Movie,https://image.tmdb.org/t/p/w500/4kpdyePOlcELQQJcxXPF5GB1Adw.jpg,6.21
138,"27 Nights",Movie,https://image.tmdb.org/t/p/w500/kVMUTLFbfQvNYdFHiexTDnSHntV.jpg,6.4
139,Frozen,Movie,https://image.tmdb.org/t/p/w500/itAKcobTYGpYT8Phwjd8c9hleTo.jpg,7.249
